Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2025/9/3
Test time,20:45:00
E(lx),874.73
Candle E(fc),81.26
CCT(K),7302
Duv,0.15314
CIE x,0.1975
CIE y,0.7511
CIE u,0.068
CIE v,0.3879
CIE u',0.068
CIE v',0.5818
SDCM,100
Ra,-36.6
R1,-41
R2,-22
R3,-46
R4,-79
R5,-15
R6,-27
R7,-21
R8,-43
R9,-100
R10,-100
R11,-100
R12,-56
R13,-47
R14,25
R15,-38
Ee(mW/c©O),0.156
S/P,2.286
Dominant(nm),534.1
Purity(%),92.2
Half width(nm),26.2
Peak(nm),526.6
Center(nm),528.7
Centroid(nm),531.9
R ratio(%),0
G ratio(%),99.6
B ratio(%),0.4
CIE1931 X,336.838
CIE1931 Y,1280.718
CIE1931 Z,87.542
TLCI-2012,2
Integral Time(ms),88
Peak Signal,54649
Dark Signal,2798
Compensate level,2960
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0.008593
449,0.018964
450,0.018848
451,0.014171
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0.000488
476,0.003953
477,0.008205
478,0.021461
479,0.038768
480,0.050002
481,0.06438
482,0.088285
483,0.12824
484,0.179034
485,0.236908
486,0.293859
487,0.3525
488,0.410999
489,0.494282
490,0.604794
491,0.726301
492,0.866248
493,1.016128
494,1.187316
495,1.391464
496,1.62943
497,1.907598
498,2.228044
499,2.595056
500,3.015861
501,3.497775
502,4.052179
503,4.691441
504,5.430392
505,6.261456
506,7.104095
507,8.154255
508,9.357564
509,10.730398
510,12.272848
511,14.018826
512,15.942555
513,18.077774
514,20.418467
515,22.927269
516,25.680008
517,28.530222
518,31.494682
519,34.432331
520,37.334724
521,40.084869
522,42.721962
523,45.105453
524,47.117222
525,48.573349
526,49.314335
527,49.420856
528,48.870487
529,48.073376
530,46.7603
531,45.362743
532,43.850803
533,42.073055
534,40.040943
535,37.77103
536,35.435833
537,33.159756
538,31.073473
539,29.138369
540,27.384035
541,25.688915
542,24.202179
543,22.849052
544,21.788179
545,20.643652
546,19.557533
547,18.535471
548,17.537556
549,16.554012
550,15.583071
551,14.612885
552,13.661557
553,12.718665
554,11.804638
555,11.03441
556,10.188018
557,9.386973
558,8.626754
559,7.911272
560,7.254115
561,6.644135
562,6.087137
563,5.576772
564,5.11745
565,4.709658
566,4.375763
567,4.020984
568,3.68697
569,3.391017
570,3.123565
571,2.88571
572,2.64985
573,2.437035
574,2.238225
575,2.075742
576,1.908856
577,1.743275
578,1.588739
579,1.450503
580,1.327698
581,1.206151
582,1.112191
583,1.015285
584,0.92655
585,0.835871
586,0.754015
587,0.683534
588,0.630921
589,0.579739
590,0.530831
591,0.477135
592,0.418976
593,0.371951
594,0.335299
595,0.308388
596,0.27912
597,0.242226
598,0.212197
599,0.191421
600,0.172743
601,0.154045
602,0.127524
603,0.097985
604,0.071682
605,0.06132
606,0.056449
607,0.047895
608,0.037291
609,0.019124
610,0.014297
611,0.013271
612,0.013882
613,0.013499
614,0.007619
615,0.0023
616,0.002017
617,0.00108
618,0.000223
619,0.000223
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0.007696
642,0.012732
643,0.012802
644,0.011487
645,0.000018
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0.001822
771,0.00227
772,0.002261
773,0.001358
774,0
775,0
776,0
777,0
778,0
779,0
780,0
