Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2025/9/3
Test time,20:42:27
E(lx),1381.56
Candle E(fc),128.35
CCT(K),6402
Duv,0.00349
CIE x,0.3143
CIE y,0.3312
CIE u,0.1981
CIE v,0.3132
CIE u',0.1981
CIE v',0.4697
SDCM,4.78
Ra,39.2
R1,15
R2,57
R3,78
R4,39
R5,41
R6,53
R7,50
R8,-20
R9,-100
R10,20
R11,36
R12,55
R13,23
R14,80
R15,0
Ee(mW/c©O),0.511
S/P,2.972
Dominant(nm),490.3
Purity(%),6.6
Half width(nm),13.6
Peak(nm),629.8
Center(nm),628.2
Centroid(nm),544.3
R ratio(%),27.2
G ratio(%),63.4
B ratio(%),9.4
CIE1931 X,1919.776
CIE1931 Y,2022.786
CIE1931 Z,2164.678
TLCI-2012,23
Integral Time(ms),43
Peak Signal,50966
Dark Signal,2670
Compensate level,2960
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0.005564
432,0.028314
433,0.073894
434,0.142843
435,0.237469
436,0.353293
437,0.478139
438,0.622144
439,0.785217
440,0.996821
441,1.235442
442,1.522439
443,1.858077
444,2.256999
445,2.74614
446,3.314162
447,3.981044
448,4.744741
449,5.621112
450,6.655
451,7.998632
452,9.416772
453,10.996561
454,12.772716
455,14.845317
456,17.23311
457,19.947926
458,23.095446
459,26.724672
460,30.909494
461,35.639706
462,41.039597
463,47.125317
464,53.798351
465,60.699123
466,67.533768
467,73.924683
468,79.184402
469,82.357292
470,83.672684
471,82.668869
472,80.096436
473,75.49707
474,68.796745
475,61.917294
476,54.929142
477,48.547405
478,43.052624
479,38.550957
480,35.023335
481,32.14563
482,29.862036
483,27.937847
484,26.264954
485,24.714378
486,23.147554
487,21.519836
488,19.83308
489,18.082287
490,16.354612
491,14.705535
492,13.172803
493,11.814364
494,10.672845
495,9.703193
496,8.960711
497,8.413212
498,8.074074
499,7.884513
500,7.840156
501,7.90764
502,8.099243
503,8.390097
504,8.788188
505,9.287304
506,9.862902
507,10.624233
508,11.553689
509,12.665186
510,13.970261
511,15.495629
512,17.22127
513,19.184725
514,21.387314
515,23.788836
516,26.447893
517,29.224581
518,32.121792
519,34.989288
520,37.806026
521,40.480354
522,42.963539
523,45.136372
524,46.980801
525,48.356857
526,49.197285
527,49.421947
528,49.015209
529,48.350368
530,47.165951
531,45.688148
532,43.894802
533,41.795139
534,39.541149
535,37.238235
536,34.918488
537,32.647732
538,30.542482
539,28.592241
540,26.838934
541,25.160223
542,23.688084
543,22.349741
544,21.308687
545,20.182625
546,19.114628
547,18.090174
548,17.105333
549,16.135479
550,15.176991
551,14.210179
552,13.251869
553,12.317666
554,11.412508
555,10.643332
556,9.787536
557,8.972779
558,8.220527
559,7.522479
560,6.878744
561,6.287696
562,5.753954
563,5.277092
564,4.851954
565,4.470737
566,4.151068
567,3.818048
568,3.51128
569,3.25474
570,3.021388
571,2.8067
572,2.598342
573,2.41479
574,2.253197
575,2.123214
576,1.98217
577,1.84109
578,1.700259
579,1.574335
580,1.466709
581,1.367129
582,1.300329
583,1.239612
584,1.185965
585,1.138191
586,1.095577
587,1.073017
588,1.07633
589,1.089896
590,1.122056
591,1.162725
592,1.241298
593,1.371055
594,1.533175
595,1.743196
596,1.967319
597,2.266681
598,2.625819
599,3.037807
600,3.494862
601,4.030982
602,4.6398
603,5.264738
604,6.074986
605,7.00334
606,8.077212
607,9.285917
608,10.677873
609,12.246291
610,13.8262
611,15.841837
612,18.138302
613,20.796143
614,23.811464
615,26.797344
616,30.441681
617,34.346111
618,38.472652
619,42.761585
620,47.22504
621,51.970715
622,56.668064
623,62.742298
624,69.852821
625,78.133591
626,87.378113
627,95.700256
628,103.371002
629,107.735123
630,107.541
631,102.120644
632,93.450569
633,79.968163
634,65.254402
635,51.529751
636,39.95116
637,31.848122
638,24.864624
639,19.541172
640,15.469224
641,12.259876
642,9.984317
643,7.891744
644,6.197068
645,4.817936
646,3.745478
647,3.00039
648,2.346493
649,1.84377
650,1.464433
651,1.179187
652,0.988589
653,0.810956
654,0.669057
655,0.566946
656,0.489719
657,0.438637
658,0.383203
659,0.33046
660,0.279472
661,0.234028
662,0.183383
663,0.157501
664,0.125785
665,0.089719
666,0.048352
667,0.013179
668,0.000826
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
