Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2025/9/3
Test time,20:53:42
E(lx),116.68
Candle E(fc),10.84
CCT(K),3578
Duv,-0.0027
CIE x,0.3984
CIE y,0.3812
CIE u,0.2351
CIE v,0.3375
CIE u',0.2351
CIE v',0.5062
SDCM,5.43
Ra,48.2
R1,33
R2,80
R3,54
R4,29
R5,47
R6,74
R7,60
R8,8
R9,-73
R10,75
R11,15
R12,77
R13,42
R14,68
R15,30
Ee(mW/c©O),0.038
S/P,1.868
Dominant(nm),581.9
Purity(%),34
Half width(nm),8.4
Peak(nm),632.3
Center(nm),633.8
Centroid(nm),569.1
R ratio(%),31.1
G ratio(%),66.3
B ratio(%),2.6
CIE1931 X,178.561
CIE1931 Y,170.842
CIE1931 Z,98.792
TLCI-2012,37
Integral Time(ms),310
Peak Signal,50910
Dark Signal,3469
Compensate level,2960
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.003422
381,0.003505
382,0.001728
383,0.002466
384,0.001303
385,0.00124
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0.000021
396,0.000104
397,0.000105
398,0.000103
399,0.00002
400,0
401,0
402,0.000428
403,0.000418
404,0.000415
405,0.000103
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0.001722
430,0.001774
431,0.004141
432,0.005079
433,0.007584
434,0.016814
435,0.034128
436,0.063444
437,0.10088
438,0.1408
439,0.192524
440,0.254507
441,0.33095
442,0.406328
443,0.494676
444,0.582337
445,0.694632
446,0.823866
447,0.973258
448,1.167741
449,1.387997
450,1.617392
451,1.884738
452,2.123665
453,2.363134
454,2.569331
455,2.727735
456,2.833015
457,2.865313
458,2.834608
459,2.734713
460,2.583863
461,2.381975
462,2.150949
463,1.912867
464,1.686631
465,1.48888
466,1.325073
467,1.187381
468,1.078375
469,1.000491
470,0.936147
471,0.885061
472,0.821182
473,0.758521
474,0.67587
475,0.607186
476,0.551236
477,0.495496
478,0.443424
479,0.386153
480,0.333674
481,0.291681
482,0.265328
483,0.249471
484,0.241938
485,0.245977
486,0.249173
487,0.247921
488,0.233251
489,0.225787
490,0.231236
491,0.23357
492,0.239341
493,0.23579
494,0.231924
495,0.237464
496,0.247156
497,0.264068
498,0.279749
499,0.300759
500,0.327338
501,0.375561
502,0.43039
503,0.488265
504,0.555328
505,0.626494
506,0.699085
507,0.786342
508,0.885453
509,0.998973
510,1.136906
511,1.283042
512,1.446458
513,1.605188
514,1.757997
515,1.894771
516,2.019333
517,2.139325
518,2.256897
519,2.373167
520,2.482921
521,2.586977
522,2.684222
523,2.785943
524,2.893064
525,3.002079
526,3.097252
527,3.172627
528,3.235686
529,3.271369
530,3.27598
531,3.254409
532,3.210891
533,3.169746
534,3.121674
535,3.06853
536,3.019155
537,2.971262
538,2.902343
539,2.825168
540,2.727058
541,2.641163
542,2.543191
543,2.432489
544,2.325134
545,2.192733
546,2.065612
547,1.942488
548,1.821654
549,1.713212
550,1.595384
551,1.477404
552,1.363147
553,1.253621
554,1.156737
555,1.069345
556,0.970684
557,0.881059
558,0.798236
559,0.713687
560,0.633487
561,0.546978
562,0.480173
563,0.424586
564,0.382263
565,0.347091
566,0.302375
567,0.25183
568,0.208056
569,0.183745
570,0.171013
571,0.166364
572,0.149993
573,0.145907
574,0.147304
575,0.157818
576,0.185882
577,0.215662
578,0.247026
579,0.285768
580,0.332987
581,0.380337
582,0.436606
583,0.504518
584,0.5672
585,0.61944
586,0.660848
587,0.706399
588,0.755921
589,0.793869
590,0.820254
591,0.82528
592,0.823773
593,0.827809
594,0.824595
595,0.823855
596,0.82628
597,0.84843
598,0.896282
599,0.935149
600,0.938191
601,0.917927
602,0.888176
603,0.877686
604,0.879707
605,0.897223
606,0.955721
607,1.170861
608,1.686162
609,2.304976
610,2.656219
611,2.80624
612,3.226487
613,4.356348
614,5.599634
615,5.90879
616,5.014532
617,3.514225
618,2.37624
619,1.873529
620,1.745084
621,1.690533
622,1.635082
623,1.589964
624,1.610694
625,1.726681
626,1.890666
627,2.065697
628,2.59086
629,4.205114
630,7.508258
631,11.053165
632,13.018777
633,12.463953
634,10.869164
635,9.842108
636,9.439826
637,8.455219
638,6.047575
639,3.330291
640,1.587409
641,0.840541
642,0.605123
643,0.497746
644,0.458105
645,0.496499
646,0.805699
647,1.358949
648,1.99689
649,2.232857
650,1.87789
651,1.252807
652,0.812881
653,0.573595
654,0.456443
655,0.377163
656,0.316843
657,0.275997
658,0.239169
659,0.200469
660,0.17167
661,0.147005
662,0.119975
663,0.110737
664,0.095099
665,0.075293
666,0.040534
667,0.014317
668,0.010359
669,0.030058
670,0.056176
671,0.08088
672,0.077389
673,0.052819
674,0.021002
675,0.007879
676,0.00516
677,0.004927
678,0.00269
679,0
680,0
681,0.000266
682,0.001388
683,0.001869
684,0.002589
685,0.001751
686,0.008869
687,0.011591
688,0.011597
689,0.008282
690,0.000726
691,0
692,0
693,0
694,0
695,0
696,0
697,0.000918
698,0.00107
699,0.001077
700,0.000553
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0.00062
752,0.009883
753,0.010002
754,0.010126
755,0.003587
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0.0022
765,0.004363
766,0.004417
767,0.00397
768,0
769,0
770,0.038808
771,0.046552
772,0.046367
773,0.026409
774,0
775,0
776,0
777,0
778,0
779,0
780,0
